"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","sshal","sshal_se","sshal_lower","sshal_upper"
"result.229","229",0.686,0.531014190218985,0.0930316119259399,0.348672230844143,0.713356149593827,0.581075172091825,0.0921350029024131,0.400490566403096,0.761659777780555,0.521610376892812,0,0,0,0
"result.230","230",0.686,0.566359220597495,0.0970787942472245,0.376084783872935,0.756633657322055,0.646526491697752,0.0969227209594884,0.456557958617155,0.836495024778349,0.584712894513847,0,0,0,0
"result.231","231",0.686,0.748647368632506,0.108949119898224,0.535107093631987,0.962187643633025,0.742997581603919,0.102150921432143,0.542781775596918,0.94321338761092,0.647781584983559,0,0,0,0
"result.232","232",0.686,0.474325056902806,0.0872652647883753,0.303285137917591,0.645364975888022,0.509650365010631,0.0836085998304097,0.345777509343028,0.673523220678234,0.436838715963197,0,0,0,0
"result.233","233",0.686,0.899152792992648,0.120010468641858,0.663932274454605,1.13437331153069,0.986944427577051,0.120165519034151,0.751420010270114,1.22246884488399,0.897380959017543,0,0,0,0
"result.234","234",0.686,0.619762165696744,0.10315090031166,0.417586401085892,0.821937930307597,0.606724346033265,0.091744556599098,0.426905015099033,0.786543676967497,0.489991809900393,0,0,0,0
"result.235","235",0.686,0.690530721915658,0.104387036834545,0.485932129719949,0.895129314111366,0.889673109902054,0.111200166140466,0.671720784266741,1.10762543553737,0.771744248221483,0,0,0,0
"result.236","236",0.686,0.684654160730433,0.10783451678647,0.473298507828951,0.896009813631915,0.747835109969895,0.107166407807293,0.5377889506676,0.957881269272189,0.671095161927303,0,0,0,0
"result.237","237",0.686,0.560113498635176,0.0977205418765219,0.368581236557193,0.751645760713159,0.586697429985625,0.0938259026872288,0.402798660718656,0.770596199252593,0.512852336536443,0,0,0,0
"result.238","238",0.686,0.589459603750999,0.10639178598059,0.380931703229042,0.797987504272956,0.60223431615646,0.0978523537372995,0.410443702831353,0.794024929481567,0.496665365423393,0,0,0,0
