"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","sshal","sshal_se","sshal_lower","sshal_upper"
"result.108","108",0.686,0.87409882644579,0.169293790661483,0.542282996749283,1.2059146561423,0.892724607820499,0.159089911210389,0.580908381848137,1.20454083379286,0.766630304999897,0,0,0,0
"result.109","109",0.686,0.609174053779704,0.122742324419189,0.368599097918094,0.849749009641315,0.627201974418884,0.119619963666021,0.392746845633484,0.861657103204285,0.577535772541353,0,0,0,0
"result.110","110",0.686,0.428596276426175,0.121477614791161,0.190500151435499,0.666692401416852,0.436637641319338,0.106384408777798,0.228124200114854,0.645151082523823,0.325675441897843,0,0,0,0
"result.111","111",0.686,0.838104171530199,0.1571694482346,0.530052052990383,1.14615629007001,0.860928037470465,0.154206941301562,0.558682432519404,1.16317364242153,0.80727671751843,0,0,0,0
"result.112","112",0.686,0.77496554070946,0.15878801989378,0.46374102171765,1.08619005970127,0.798415962395416,0.15529864080046,0.494030626426514,1.10280129836432,0.739142515982598,0,0,0,0
"result.113","113",0.686,0.801929778835023,0.158797483457737,0.490686711257858,1.11317284641219,0.811003813792208,0.141933035788667,0.532815063646421,1.08919256393799,0.631797101389624,0,0,0,0
"result.114","114",0.686,1.02262284357481,0.181391635701015,0.667095237600824,1.3781504495488,1.04231471672442,0.171490525607677,0.706193286533372,1.37843614691547,0.903625290291012,0,0,0,0
"result.115","115",0.686,0.899840567267955,0.177083402151588,0.552757099050842,1.24692403548507,0.921198591530034,0.166431750004369,0.594992361521471,1.2474048215386,0.79064959681772,0,0,0,0
"result.116","116",0.686,0.905156666820738,0.163354295240256,0.584982248149836,1.22533108549164,0.916229632092409,0.14977061626434,0.622679224214303,1.20978003997052,0.748007201570406,0,0,0,0
"result.117","117",0.686,0.429009623515684,0.110335982095706,0.2127510986081,0.645268148423268,0.442892117789024,0.104401164583294,0.238265835205767,0.64751840037228,0.382806973438862,0,0,0,0
"result.118","118",0.686,0.855213844643727,0.176605320703378,0.509067416065107,1.20136027322235,0.878733085074156,0.169521090072436,0.546471748532181,1.21099442161613,0.785021098988332,0,0,0,0
"result.119","119",0.686,0.788394651011331,0.153904006104237,0.486742799047028,1.09004650297564,0.807148223199465,0.146163112419407,0.520668522857427,1.0936279235415,0.705441800925503,0,0,0,0
"result.120","120",0.686,0.663236956736544,0.151170168228731,0.366943427008232,0.959530486464856,0.682034865093476,0.143602710194762,0.400573553111743,0.963496177075208,0.594677007209881,0,0,0,0
"result.121","121",0.686,0.544133275301134,0.1261599559199,0.29685976169813,0.791406788904139,0.560215873057974,0.120378158488966,0.324274682419601,0.796157063696347,0.492590820881753,0,0,0,0
"result.122","122",0.686,0.69300767227117,0.138414441942646,0.421715366063585,0.964299978478755,0.709584457136666,0.131933228442457,0.45099532938945,0.968173584883882,0.624052439260918,0,0,0,0
"result.123","123",0.686,0.824583591444446,0.177074624802397,0.477517326831749,1.17164985605714,0.829843541976204,0.17701216735986,0.482899693950879,1.17678739000153,0.806111461345596,0,0,0,0
"result.124","124",0.686,0.720686837313043,0.155783478785688,0.415351218893095,1.02602245573299,0.735131237545439,0.142114910030408,0.45658601388584,1.01367646120504,0.595275436662669,0,0,0,0
"result.125","125",0.686,0.677967748200808,0.144881357292645,0.394000287907224,0.961935208494392,0.69913699432493,0.140842939440218,0.423084833022104,0.975189155627757,0.639187685330985,0,0,0,0
"result.126","126",0.686,0.854375529011905,0.156801929189786,0.547043747799923,1.16170731022389,0.872085063119793,0.148512520059126,0.581000523803905,1.16316960243568,0.760313585889043,0,0,0,0
"result.127","127",0.686,0.669550834062224,0.154094523881672,0.367525567254148,0.971576100870301,0.683721469117495,0.14090964815503,0.407538558733637,0.959904379501352,0.554255199896782,0,0,0,0
"result.128","128",0.686,0.879199425368371,0.173363742082685,0.539406490886309,1.21899235985043,0.900470511990319,0.164448659925217,0.578151138536894,1.22278988544374,0.78188688191919,0,0,0,0
"result.129","129",0.686,0.884062236644099,0.166899282747916,0.556939642458184,1.21118483083001,0.89797156560787,0.155456653785177,0.593276524188923,1.20266660702682,0.75445300672254,0,0,0,0
"result.130","130",0.686,0.751491859152376,0.166231357339648,0.425678398766666,1.07730531953809,0.764774011600991,0.151544099617407,0.467747576350874,1.06180044685111,0.617631600295354,0,0,0,0
